,title,view_count,likes,dislikes,comment_count,trending_days,category,video_id,channelTitle,tags,response_rate
32,"Saiyaan Ji ► Yo Yo Honey Singh, Neha Kakkar|Nushrratt Bharuccha|  Lil G, Hommie D| Mihir G|Bhushan K",428315842,20660474,1029932,1798139,10,Music,VEkj2sanAeU,T-Series,hindi songs|2020 hindi songs|2020 new songs|bollywood songs|2020 songs|hindi 2020 songs|hindi movie songs|saiyaan ji|saiyaan ji yo yo honey singh song|saiya ji honey singh|Yo Yo Honey Singh|Lil Golu|Hommie Dilliwala|nushrat bharucha|honey singh new song 2021|saiyaan ji neha kakkar|saiyaan ji honey singh|saiyaan ji yo yo honey singh|nushrat bharucha songs|neha kakkar new song|neha kakkar song|neha kakkar|yo yo honey singh|yo yo honey singh songs,5.48%
33,Money Plinko Challenge! 💰 #shorts,426497234,11475143,412459,26817,6,Gaming,qpw5i2j6cHc,AnthonySenpai,[None],2.79%
34,Insaniyat shayad ab bachho me he rah gai hai 😭😭#emotinalstory #sadstory #stories #heroindori,419660572,23787422,430228,61614,6,Comedy,FxIgRAbxnxk,Heroindori,[None],5.79%
35,Oh No.... 😂,418777433,11692490,622733,93006,8,Entertainment,2CZsmTXeRBM,Dan Rhodes,[None],2.96%
36,Dil Galti Kar Baitha Hai | Meet Bros Ft. Jubin Nautiyal | Mouni Roy | Manoj M | Ashish P | Bhushan K,418274871,18083727,781932,858807,10,Music,1--qqQrimMA,T-Series,hindi songs|2021 hindi songs|new hindi songs|t-series|tseries|new song|2021 film songs|2021 songs|hindi movie songs|dil galti kar baitha hai song|dil galti kar baitha hai video|dil galti kar baitha hai film song|dil galti kar baitha hai lyrics|dil galti kar baitha hai lyrical|dil galti kar baitha hai hindi song|dil galti kar baitha hai new song|dil galti kar baitha hai full video|dil galti kar baitha hai 2021 hindi songs|new hindi songs romantic 2021,4.72%
37,8 Year Old Loses His Mind! 🤣😱,416190700,15608243,463769,43139,6,People & Blogs,qaA28VO9yH4,Woody & Kleiny Extra,shorts|viral|comedy|best friends|best of woody and kleiny|woody and kleiny highlights|prank|prank war|shock|family game|falling|ceiling prank|pranking son|pranking 8 year old,3.87%
38,Heart touching plz end tak zarur dekhna💔😭 #trending #message #humanity #nomanofficial,410060858,24882105,591679,104602,8,Comedy,VzO-7kE6fKc,Noman Official,[None],6.24%
39,Dance your 💜 out to #PermissiontoDance 💃🕺 Only on YouTube #Shorts,404229895,37573835,591257,518093,8,Music,H12SwqwR2NE,BANGTANTV,방탄 챌린지|방탄소년단 챌린지|BTS 챌린지|BTS Challenge|BTS Shorts|방탄 쇼츠|퍼미션투댄스 챌린지|퍼투댄 챌린지|Permission to Dance 챌린지|방탄소년단 댄스 챌린지|방탄소년단 쇼츠|BTS 쇼츠 방탄소년단 춤 챌린지|쇼츠 BTS,9.57%
40,"Seeti Maar | Radhe - Your Most Wanted Bhai | Salman Khan, Disha Patani|Kamaal K, Iulia V|DSP|Shabbir",404019531,5835339,906986,1358775,8,Music,mvgRsyQYWMo,Zee Music Company,Seeti Maar|seeti maar video song|seeti maar radhe song|seeti maar hindi song|Seeti Mar|Sheeti Maar|salman khan|disha patani|radhe seeti maar song|radhe salman khan song|salman khan new song|seeti maar salman khan song|seeti maar salman khan|radhe movie song|seeti maar video song radhe movie|radhe movie seeti maar song|salman khan and disha patani song|Salman Khan Dance Song|New Hindi Song|Zee Music Company|Siti Mar|Sity Maar|Seti Maar,2.01%
41,"Doob Gaye (Official Video) Guru Randhawa | Urvashi Rautela | Jaani, B Praak | Remo D | Bhushan K",400746223,7386447,368381,425772,8,Music,VdTviH5Svzc,T-Series,hindi songs|2021 hindi songs|new hindi songs|2021 new songs|t-series|tseries|tseries songs|new song|hit songs 2021|2021 film songs|bollywood songs|2021 songs|hindi 2021 songs|film songs|hindi movie songs|doob gaye|guru randhawa new song|urvashi rautela|b praak|jaani|doob gaye guru randhawa|doob gaye new song|new hindi songs romantic 2021|guru randhawa new song 2021|guru randhawa songs|jaani new song|b praak new song,2.04%
42,Jiska koi nhi hota uska khuda hota hai 😘😘 #shorts #azhan5star #youtube,396559689,21200217,556012,56342,7,Entertainment,zDu3-XH6hvY,Azhan5star,[None],5.50%
43,Dednahype show Part 2.Meet the Monster. #shorts,392903356,19398667,826847,58304,10,Comedy,OtnlGdFCJvY,dednahype,[None],5.16%
44,It ends brutally 😂 #thatlittlepuff #recipe #puffknowsbetter #PINKHolidayRemix,392098933,19047778,426738,56624,7,People & Blogs,TaDAJgw4SIQ,That Little Puff,[None],4.98%
45,"Nadiyon Paar (Let the Music Play) – Roohi | Janhvi | Sachin-Jigar | Rashmeet, Shamur, IP |11th March",391809073,5024552,607254,277561,8,Music,DKj5m9cSMZs,Sony Music India,Sony Music India|Sony Music|Latest Hits|nadiyon paar|nadiyoon paar song|shamoor|shamur let the music play|let the music play|let the music play remake|guess the song|janhvi kapoor|janhvi kapoor hot dress|roohi|roohi songs|roohi trailer|panghat|panghat dance|kiston|kiston song|let the music play roohi|shamur let the music play dance|new song|latest song roohi|latest dance song|bahut kathin hai dagar panghat ki|nadiyon paar sajan da thana song,1.51%
46,Kya aap mante ho .. ki dil se Amir hona chaiye ? #littleglove #shorts,390323709,13608142,444598,32585,7,Entertainment,Nxa5I-Iiig8,LittleGlove,[None],3.61%
47,My hidden talent #shorts,380402780,12430156,214790,24193,7,Comedy,O2W2gUXAt78,Zach King Shorts,shorts|#shorts|zach king|magic|tiktok|dance|fergie|trend|behind the scenes,3.33%
48,"Barsaat Ki Dhun Song | Rochak K Ft. Jubin N | Gurmeet C, Karishma S |Rashmi V | Ashish P | Bhushan K",374574912,12188025,361711,583696,10,Music,YIucrdfR6rI,T-Series,Barsaat Ki Dhun song|Barsaat Ki Dhun video|Barsaat Ki Dhun lyrics|Barsaat Ki Dhun lyrical|Barsaat Ki Dhun Jubin Nautiyal|Barsaat Ki Dhun Jubin Nautiyal Full Song|Barsaat Ki Dhun Jubin Nautiyal Song|Barsaat Ki Dhun Karishma Sharma|Barsaat Ki Dhun Karishma Sharma Song|Barsaat Ki Dhun Karishma Sharma Full Song|Jubin Nautiyal Barsaat Ki Dhun|Jubin Nautiyal Barsaat Ki Dhun Song|Jubin Nautiyal Barsaat Ki Dhun Full Song|Barsaat Ki Dhun,3.51%
49,BTS (방탄소년단) 'Butter' Official MV (Hotter Remix),373194417,49227759,303223,3171670,10,Music,YLXfyHsfFz0,HYBE LABELS,BIGHIT|빅히트|방탄소년단|BTS|BANGTAN|방탄,14.12%
